External ID;Creation Date;Display Name;Order Lines/Product/Internal Reference;Order Lines/Description;Order Lines/Quantity;Order Lines/Margin;Order Lines/Unit Price;Salesperson/Display Name;Payment Status;Delivery Status
__export__.sale_order_50467_38ffb302;44307,8519;SO-INS-142580;AMP-M035;[AMP-M035] Slot Box XL (#Структор);1;282,786;440;InSales;Fully Paid;Fully Shipped
;;;AMP-B192;[AMP-B192] Troyka HAT;1;659,716;1590;;;
;;;AMP-B028;[AMP-B028] Драйвер шагового двигателя (Troyka-модуль);1;462,636;950;;;
;;;AMP-B182;[AMP-B182] Ёмкостный датчик влажности почвы;1;230,973;630;;;
;;;AMP-V11297;[AMP-V11297] Камера (D) для Raspberry Pi;1;619,117;1740;;;
;;;AMP-M014;[AMP-M014] Крепления Troyka (#Структор);1;195,814;290;;;
;;;AMP-X157;[AMP-X157] Погружная помпа с трубкой;1;359,528;1040;;;
;;;AMP-B005-W;[AMP-B005-W] Светодиод «Пиранья» (Troyka-модуль);4;306,469;170;;;
;;;AMP-B098;[AMP-B098] Силовой ключ v3 (Troyka-модуль);1;156,056;310;;;
;;;AMP-W001;[AMP-W001] Трёхпроводной шлейф «мама-мама»;9;355,824;60;;;
;;;AMP-W022;[AMP-W022] Трёхпроводной шлейф «мама-папа»;21;537,6;60;;;
;;;AMP-B123;[AMP-B123] Цифровой метеодатчик (Troyka-модуль);1;416,467;900;;;
;;;AMP-X375;[AMP-X375] Шаговый двигатель 28BYJ-48 5V;1;172,756;390;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;290;290;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50466_120c6cef;44307,81322;SO-INS-142579;AMP-H006;[AMP-H006] microSD-карта с ОС Raspbian (16 ГБ, Класс 10);1;317,626;640;InSales;Fully Paid;Fully Shipped
;;;AMP-E037;[AMP-E037] Raspberry Pi 4 Model B (8 ГБ);1;1879,504;8890;;;
;;;AMP-X487;[AMP-X487] Корпус для Raspberry Pi 4 с кулером (LT-4B01 / алюминий / чёрный);1;765,116;1690;;;
;;;AMP-V16642;[AMP-V16642] Цветной сенсорный HDMI-дисплей для Raspberry Pi 1920×1080 / 11,6” в корпусе v2;1;1436,541;13590;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50465_4293da1a;44307,79454;SO-INS-142578;AMP-X022;[AMP-X022] ИК-приёмник;1;84,276;140;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50464_55bc8cc1;44307,78006;SO-INS-142577;AMP-B007;[AMP-B007] Датчик Холла (Troyka-модуль);1;82,272;150;InSales;Fully Paid;Fully Shipped
;;;AMP-B127;"[AMP-B127] Инфракрасный датчик движения (Troyka-модуль)	";1;224,199;530;;;
;;;AMP-X483;[AMP-X483] Корпус для Raspberry Pi 4 (LT-4B01 / алюминий / серебристый);2;1113,589;1490;;;
;;;AMP-X482;[AMP-X482] Корпус для Raspberry Pi 4 (LT-4B01 / алюминий / чёрный);2;1515,599;1490;;;
;;;AMP-W022;[AMP-W022] Трёхпроводной шлейф «мама-папа»;1;28,1;60;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;290;290;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50463_30bfee33;44307,77208;SO-INS-142576;AMP-S057;[AMP-S057] Малина v4 (2 ГБ);1;2526,54;8490;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50462_3a916127;44307,76625;SO-INS-142575;AMP-X533;[AMP-X533] Espruino Puck.js;1;263,818;2890;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;290;290;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50461_5e52aeda;44307,74242;SO-INS-142574;AMP-X354;[AMP-X354] Raspberry Pi Zero W;1;757,717;2890;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50460_532d6056;44307,71501;SO-INS-142573;AMP-B102;[AMP-B102] Nano Switch;2;222,297;260;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50459_5ad7d8c0;44307,70334;SO-INS-142572;AMP-X584;[AMP-X584] PLA-пластик FDplast / красный;1;8,235;1190;InSales;Fully Paid;Fully Shipped
;;;AMP-X594;[AMP-X594] Фитинг PC4-M6;1;-357,596;290;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50458_36f2b9bc;44307,67161;SO-INS-142571;AMP-M007;[AMP-M007] Нейлоновые винты М3×8 (4 шт.);5;142,162;40;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50457_6c466ecf;44307,66725;SO-INS-142570;ABX00035;[ABX00035] Arduino Nano 33 BLE Sense;1;695,231;3990;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50455_caa45a08;44307,63257;SO-INS-142568;A000066;[A000066] Arduino Uno;1;509,994;2140;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50454_1481b202;44307,61763;SO-INS-142567;AMP-X129;[AMP-X129] Инфракрасный дальномер Sharp (10-80 см);2;932,069;1040;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50453_3e5257ad;44307,60535;SO-INS-142566;AMP-X496;[AMP-X496] Корпус для Raspberry Pi 4 с креплением VESA (LT4B17 / акрил / красный);7;1723,134;540;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50452_1191ccfe;44307,60238;SO-INS-142565;AMP-B039;[AMP-B039] Iskra Mini (с ногами);1;172,358;530;InSales;Fully Paid;Fully Shipped
;;;DLV-RUPOST;Посылка Почтой России;1;277;277;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
__export__.sale_order_50451_38953494;44307,59867;SO-INS-142564;AMP-E025;[AMP-E025] Raspberry Pi 4 Model B (2 ГБ);2;3122,929;5890;InSales;Fully Paid;Fully Shipped
;;;AMP-W030;[AMP-W030] Кабель 1m orange (HDMI-microHDMI);4;906,937;440;;;
;;;AMP-X486;[AMP-X486] Корпус для Raspberry Pi 4 (LT-4A01 / пластик / прозрачный);2;385,473;440;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50450_02bf8d7f;44307,5587;SO-INS-142563;A000067;[A000067] Arduino Mega 2560;6;5461,884;3540;Наталья Гусева;Fully Paid;Fully Shipped
;;;DLV-EMS;Доставка службой EMS;1;416,667;500;;;
;;;DLV-EMS;EMS;1;0;0;;;
;;;DLV-EMS;EMS;1;0;0;;;
__export__.sale_order_50449_08421eaa;44307,55794;SO-INS-142562;A000066;[A000066] Arduino Uno;1;509,994;2140;InSales;Fully Paid;Fully Shipped
;;;AMP-X003;[AMP-X003] Breadboard Half;1;198,02;290;;;
;;;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;1;127,102;240;;;
;;;AMP-W004;[AMP-W004] Кабель USB (A — B);1;169,064;240;;;
;;;AMP-R10K-10;[AMP-R10K-10] Резисторы 10 кОм (10 шт.);1;29,351;40;;;
;;;AMP-R220R-10;[AMP-R220R-10] Резисторы 220 Ом (10 шт.);1;29,045;40;;;
;;;AMP-X009-R4;[AMP-X009-R4] Светодиоды 5 мм (4 шт.);1;41,73;60;;;
;;;AMP-X009-B4;[AMP-X009-B4] Светодиоды 5 мм (4 шт.);1;33,537;60;;;
;;;AMP-W007;[AMP-W007] Соединительные провода «мама-папа»;1;202,406;390;;;
;;;AMP-W005;[AMP-W005] Соединительные провода «папа-папа»;1;146,639;290;;;
;;;AMP-X299;[AMP-X299] Текстовый экран 16×2 / зелёный с чёрным / I²C;1;403,355;840;;;
;;;AMP-B045;[AMP-B045] Цифровой датчик температуры и влажности (Troyka-модуль);1;164,684;310;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50448_4ec4e6ab;44307,55358;SO-INS-142561;AMP-B125;[AMP-B125] Troyka Slot Shield V2;1;-258,129;;InSales;Fully Paid;Fully Shipped
;;;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;1;-72,898;0;;;
;;;AMP-B128;[AMP-B128] Модуль подтяжки (Troyka-модуль);1;-94,951;0;;;
;;;AMP-B149;[AMP-B149] Солемер для воды с щупом (Troyka-модуль);1;-625,605;0;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50446_db6f3c06;44307,51899;SO-INS-142560;AMP-S027;[AMP-S027] NYAN!;2;1647,734;2490;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50445_1887d719;44307,51087;SO-INS-142559;AMP-B147;[AMP-B147] Iskra Nano Pro (без ног);3;111,626;470;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50444_53e4fa89;44307,50422;SO-INS-142558;A000066;[A000066] Arduino Uno;1;509,994;2140;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Питеру;1;350;350;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
__export__.sale_order_50443_b29f2475;44307,49671;SO-INS-142557;AMP-B116;[AMP-B116] Инфракрасный датчик движения (Zelo-модуль);2;503,683;530;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50442_519db476;44307,49302;SO-INS-142556;AMP-X549;[AMP-X549] Цветной сенсорный дисплей Nextion Intelligent 7” / 800×480 / в корпусе;1;297,885;9290;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Питеру;1;350;350;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
__export__.sale_order_50439_7e6906b7;44307,46395;SO-INS-142553;AMP-X046;[AMP-X046] 7-сегментный индикатор;1;74,781;140;InSales;Fully Paid;Fully Shipped
;;;AMP-X003;[AMP-X003] Breadboard Half;1;198,02;290;;;
;;;AMP-X183;[AMP-X183] Батарейный отсек 4 AA;1;84,978;130;;;
;;;AMP-X019;[AMP-X019] Выходной сдвиговый регистр 74HC595;1;38,667;60;;;
;;;AMP-W004;[AMP-W004] Кабель USB (A — B);1;169,064;240;;;
;;;AMP-X038;[AMP-X038] Клеммник нажимной;1;18,951;30;;;
;;;AMP-X017;[AMP-X017] Кнопка тактовая;1;13,298;20;;;
;;;AMP-F001-U2;[AMP-F001-U2] Микросервопривод FS90;1;166,34;390;;;
;;;AMP-X358;[AMP-X358] Мультиметр DT832;1;386,268;790;;;
;;;AMP-X021;[AMP-X021] Переменный резистор (потенциометр) 10K;1;18,325;40;;;
;;;AMP-X030;[AMP-X030] Пьезо-пищалка;1;53,406;90;;;
;;;AMP-R10K-10;[AMP-R10K-10] Резисторы 10 кОм (10 шт.);1;29,351;40;;;
;;;AMP-R220R-10;[AMP-R220R-10] Резисторы 220 Ом (10 шт.);3;87,136;40;;;
;;;AMP-X029;[AMP-X029] Светодиодная шкала;1;252,179;390;;;
;;;AMP-X009-Y4;[AMP-X009-Y4] Светодиоды 5 мм (4 шт.);1;43,644;60;;;
;;;AMP-X009-G4;[AMP-X009-G4] Светодиоды 5 мм (4 шт.);1;41,73;60;;;
;;;AMP-X009-R4;[AMP-X009-R4] Светодиоды 5 мм (4 шт.);1;41,73;60;;;
;;;AMP-W005;[AMP-W005] Соединительные провода «папа-папа»;1;146,639;290;;;
;;;AMP-X018;[AMP-X018] Термистор;1;105,857;150;;;
;;;AMP-X015;[AMP-X015] Транзистор полевой MOSFET;1;64,266;100;;;
;;;AMP-X016;[AMP-X016] Фоторезистор;1;19,946;30;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50438_2c0bff97;44307,46245;SO-INS-142552;AMP-X553-EU;[AMP-X553-EU] Блок питания Amperka USB (EU) / 5 В / 3000 мА;1;372,77;690;InSales;Not Invoiced;Fully Shipped
;;;AMP-W030;[AMP-W030] Кабель 1m orange (HDMI-microHDMI);1;245,068;440;;;
;;;AMP-W029;[AMP-W029] Кабель USB (A — Type C) - 80cm;1;219,241;340;;;
;;;AMP-E035;[AMP-E035] Официальная мышь Raspberry Pi;1;74,513;1390;;;
;;;DLV-PP;[DLV-PP] Доставка PickPoint;1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
__export__.sale_order_50437_463f187a;44307,44209;SO-INS-142551;AMP-E038-RU;[AMP-E038-RU] Raspberry Pi 400 (RU);1;1965,312;11240;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Питеру;1;350;350;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
__export__.sale_order_50436_658511d2;44307,43182;SO-INS-142550;ISBN-0280-6;[ISBN-0280-6] Заводим Raspberry Pi;1;187,664;420;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50435_631b45f6;44307,42815;SO-INS-142549;AMP-E022;[AMP-E022] STM32F746G-DISCO;1;878,547;6440;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50434_5c881d7e;44307,4252;SO-INS-142548;A000066;[A000066] Arduino Uno;1;509,994;2140;InSales;Fully Paid;Fully Shipped
;;;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;1;127,102;240;;;
;;;AMP-X040;[AMP-X040] Датчик температуры DS18B20+;1;182,859;290;;;
;;;AMP-W005;[AMP-W005] Соединительные провода «папа-папа»;1;146,639;290;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50431_33fadad5;44307,37192;SO-INS-142547;AMP-B039;[AMP-B039] Iskra Mini (с ногами);1;172,358;530;InSales;Fully Paid;Fully Shipped
;;;DFR0299;[DFR0299] MP3-плеер;1;466,954;1040;;;
;;;AMP-B084;[AMP-B084] Troyka Mini IO;1;285,077;470;;;
;;;AMP-B124;[AMP-B124] USB-UART преобразователь (Troyka-модуль);1;359,467;790;;;
;;;AMP-B063;[AMP-B063] Датчик тока (Troyka-модуль);1;257,74;470;;;
;;;AMP-B140;[AMP-B140] AC/DC преобразователь «5 В 3000 мА» (Troyka-модуль);1;182,549;990;;;
;;;AMP-B111;[AMP-B111] Усилитель класса D (Troyka-модуль);1;246,252;530;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50430_7099e108;44307,36964;SO-INS-142546;AMP-B019;[AMP-B019] Relay Shield (4 канала по 5 А);5;2781,62;1440;InSales;Fully Paid;Fully Shipped
;;;AMP-W008;[AMP-W008] Кабель HDMI (1 м);5;14,525;120;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;290;290;;;
__export__.sale_order_50429_84e95f64;44307,35068;SO-INS-142545;AMP-S024;[AMP-S024] Йодо;1;2310,725;5240;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50428_519b315e;44307,34909;SO-INS-142544;AMP-E037;[AMP-E037] Raspberry Pi 4 Model B (8 ГБ);1;1879,504;8890;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50427_fab7ec14;44307,34531;SO-INS-142543;AMP-E018;[AMP-E018] Raspberry Pi Camera Board v2.1;1;1020,196;3890;InSales;Fully Paid;Fully Shipped
;;;AMP-B192;[AMP-B192] Troyka HAT;1;725,966;1590;;;
;;;AMP-B196;[AMP-B196] Барометр v2 (Troyka-модуль);1;396,386;840;;;
;;;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;1;127,102;240;;;
;;;AMP-S035;[AMP-S035] «Интернет вещей» — продолжение набора «Матрёшка»;1;1438,836;3240;;;
;;;AMP-S061;[AMP-S061] Малина v4 (8 ГБ);1;3433,853;12740;;;
;;;AMP-S010-BI;[AMP-S010-BI] Матрёшка Z (Iskra Uno);1;1534,408;3990;;;
;;;AMP-B128;[AMP-B128] Модуль подтяжки (Troyka-модуль);1;46,716;170;;;
;;;AMP-B123;[AMP-B123] Цифровой метеодатчик (Troyka-модуль);1;453,967;900;;;
;;;DLV-EMS;Доставка службой EMS;1;3213;3213;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50426_067146e8;44307,34302;SO-INS-142542;AMP-H006;[AMP-H006] microSD-карта с ОС Raspbian (16 ГБ, Класс 10);2;635,253;640;InSales;Fully Paid;Fully Shipped
;;;AMP-X354;[AMP-X354] Raspberry Pi Zero W;2;1515,435;2890;;;
;;;AMP-V12039;[AMP-V12039] Камера для Raspberry Pi Zero;2;1091,009;1690;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50425_e8db3d0b;44307,34149;SO-INS-142541;AMP-B081;[AMP-B081] Wi-Fi (Troyka-модуль);1;368,96;850;InSales;Not Invoiced;Not Shipped
;;;AMP-X152;[AMP-X152] Жидкий флюс во флаконе с кисточкой;1;50,65;90;;;
;;;AMP-X290;[AMP-X290] Конструируем роботов на Arduino. Умный свет;1;105,636;260;;;
;;;AMP-S016;[AMP-S016] Микроник;1;492,442;990;;;
;;;AMP-X187;[AMP-X187] Припой с флюсом (20 г);1;76,16;140;;;
;;;ISBN-3793-3;[ISBN-3793-3] Электроника для начинающих (2-е издание);1;320,316;1040;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50422_0f9bb4a3;44307,32388;SO-INS-142539;AMP-B098;[AMP-B098] Силовой ключ v3 (Troyka-модуль);2;337,945;310;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50421_2d7cfb5d;44307,32096;SO-INS-142538;AMP-S027;[AMP-S027] NYAN!;1;823,867;2490;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50419_6abc34e1;44307,29433;SO-INS-142537;AMP-B102;[AMP-B102] Nano Switch;4;444,595;260;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;290;290;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50417_57575046;44307,16921;SO-INS-142535;AMP-B134;[AMP-B134] OLED-дисплей (Troyka-модуль);1;577,514;1340;InSales;Not Paid;Not Shipped
;;;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;2;254,204;240;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50416_b7de379f;44307,03392;SO-INS-142534;AMP-B030;[AMP-B030] Iskra Neo;1;333,859;1060;InSales;Fully Paid;Fully Shipped
;;;AMP-B017;[AMP-B017] Troyka Shield;1;312,925;740;;;
;;;AMP-B071;[AMP-B071] Troyka Shield LP;1;556,228;1060;;;
;;;AMP-B041;[AMP-B041] Акселерометр (Troyka-модуль);1;205,407;530;;;
;;;AMP-B072;[AMP-B072] Датчик приближения и освещённости (Troyka-модуль);1;465,392;950;;;
;;;AMP-B092;[AMP-B092] Сенсорная кнопка (Troyka-модуль);1;148,776;360;;;
;;;AMP-B160;[AMP-B160] Силовой ключ P-Channel (Troyka-модуль);8;1413,8;360;;;
;;;AMP-B149;[AMP-B149] Солемер для воды с щупом (Troyka-модуль);1;767,728;1760;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;AMP-R10K-10;[AMP-R10K-10] Резисторы 10 кОм (10 шт.);1;27,685;40;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50415_07b129ac;44306,93867;SO-INS-142533;A000062;[A000062] Arduino Due;1;914,221;3740;InSales;Not Invoiced;Not Shipped
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50414_f5953708;44306,93215;SO-INS-142532;AMP-X500;[AMP-X500] Вентилятор охлаждения (30×30×8 мм);1;160,778;290;InSales;Fully Paid;Fully Shipped
;;;AMP-W008;[AMP-W008] Кабель HDMI (1 м);2;6,66;120;;;
;;;AMP-W030;[AMP-W030] Кабель 1m orange (HDMI-microHDMI);2;491,201;440;;;
;;;AMP-X486;[AMP-X486] Корпус для Raspberry Pi 4 (LT-4A01 / пластик / прозрачный);1;212,208;440;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_50413_8d3e1b4a;44306,88523;SO-INS-142531;AMP-B030;[AMP-B030] Iskra Neo;1;380,237;1060;InSales;Fully Paid;Fully Shipped
;;;AMP-B088;[AMP-B088] Power Shield (Li-Ion, 2000 мА·ч);1;578,852;1490;;;
;;;AMP-M035;[AMP-M035] Slot Box XL (#Структор);1;301,407;440;;;
;;;AMP-B125;[AMP-B125] Troyka Slot Shield V2;1;226,334;580;;;
;;;AMP-B087;[AMP-B087] Датчик шума (Troyka-модуль);1;345,945;740;;;
;;;AMP-B009;[AMP-B009] Кнопка (Troyka-модуль);1;61,523;130;;;
;;;AMP-B086-R;[AMP-B086-R] Четырёхразрядный индикатор (Troyka-модуль);1;387,885;940;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_50412_c7a08a1c;44306,81638;SO-INS-142530;AMP-X224;[AMP-X224] Герметичный корпус 115×65×40;2;789,555;790;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50411_f37fe8dd;44306,8048;SO-INS-142529;AMP-B059;[AMP-B059] Screw Shield;1;373,507;790;InSales;Fully Paid;Fully Shipped
;;;AMP-B125;[AMP-B125] Troyka Slot Shield V2;2;452,669;580;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_50410_7cfa5de6;44306,76744;SO-INS-142528;AMP-E022;[AMP-E022] STM32F746G-DISCO;1;898,192;6440;InSales;Fully Paid;Fully Shipped
;;;AMP-M016;[AMP-M016] Крепления моторов и датчиков линии (#Структор);1;211,629;290;;;
;;;AMP-FR03-100;[AMP-FR03-100] Мотор 12 мм (5 В, 300 об/мин);1;205,392;590;;;
