External ID,Date,Product/Internal Reference,Quantity Done,Source Location/Display Name,Destination Location/Display Name
__export__.stock_move_1227111_77aa112b,2021-12-01 12:54:52,AMP-V16381,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1227113_ca158700,2021-12-01 12:54:52,AMP-S026,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1227893_facb5bcc,2021-12-06 15:50:31,AMP-B139,40,SS/Output,Partner Locations/Customers
__export__.stock_move_1228341_e697b9f4,2022-01-11 12:30:57,A000053,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1228540_edb15898,2021-12-15 12:45:08,AMP-S010,8,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1228822_f87a94d3,2021-12-02 11:31:28,AMP-V16642,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1228880_d64d5239,2022-01-24 12:52:30,AMP-S061,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1228882_42b00645,2022-01-24 12:52:30,AMP-S033,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1228884_09c2cd32,2022-01-24 12:52:30,AMP-S040,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228886_dd8b863f,2022-01-24 12:52:30,AMP-S032,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228888_bd6c041e,2022-01-24 12:52:30,AMP-S013,7,SS/Output,Partner Locations/Customers
__export__.stock_move_1228892_db32827e,2022-01-24 12:52:30,AMP-X121,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228894_c9cc8a50,2022-01-24 12:52:30,AMP-X120,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228896_22d2ea49,2022-01-24 12:52:30,AMP-X118,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228947_367df1b3,2022-02-14 12:59:03,AMP-F006,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1229029_7a72efaa,2021-12-01 12:50:19,AMP-X563,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229130_08487e81,2021-12-01 15:17:47,AMP-B072,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1229181_30468676,2021-12-27 07:35:04,AMP-S058,4,SS/Output,Partner Locations/Customers
__export__.stock_move_1229287_b09c8485,2021-12-10 13:05:44,AMP-X068,12,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229289_7acc89de,2021-12-10 13:05:44,AMP-B111,12,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229291_f010f2d5,2021-12-10 13:05:44,DFR0299,12,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229317_8485fed2,2021-12-01 15:17:18,AMP-B043,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1229319_2c1a602e,2021-12-01 15:17:30,AMP-X012,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1229321_d3e303b3,2021-12-01 15:17:30,AMP-F001-U2,4,SS/Output,Partner Locations/Customers
__export__.stock_move_1229323_735f49a5,2021-12-01 15:17:30,AMP-W003,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1229325_cb08180d,2021-12-01 15:17:30,AMP-W004,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1229327_65feb7d8,2021-12-01 15:17:30,A000066,26,SS/Output,Partner Locations/Customers
__export__.stock_move_1229329_df6a0722,2021-12-01 15:17:30,AMP-W030,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1229331_d8f9713a,2021-12-01 15:17:30,AMP-X142-U2,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1229333_3372a56a,2021-12-01 15:17:30,ABX00021,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1229335_3ed5e911,2021-12-01 15:17:30,AMP-X023,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1229337_40e866a0,2021-12-01 15:17:30,AMP-X195,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1229339_260f6760,2021-12-01 15:17:30,AMP-B111,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1229480_e74122ab,2021-12-16 11:35:54,AMP-X452,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1229588_037ede67,2021-12-09 15:51:31,AMP-S035,7,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229590_86b83fb7,2021-12-09 15:51:31,AMP-S010-BI,7,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229592_b74fd893,2021-12-02 08:30:23,AMP-S013,8,SS/Output,Partner Locations/Customers
__export__.stock_move_1229932_956d74df,2021-12-08 10:26:35,AMP-S061,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1230066_34d1205d,2021-12-07 08:45:15,AMP-S010,1,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230067_77acda8d,2021-12-07 08:45:15,AMP-S010,8,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230068_fdef6f1f,2021-12-07 08:45:15,AMP-S010-BI,8,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230069_15773019,2021-12-07 08:45:15,AMP-S016,1,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230070_c1b467c3,2021-12-07 08:45:15,AMP-S016,1,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230071_3f41921b,2021-12-07 08:45:15,AMP-S016,23,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230072_6e7933df,2021-12-07 08:45:15,AMP-S024,1,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230073_7e2837ca,2021-12-07 08:45:15,AMP-S024,1,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230074_aef94d93,2021-12-07 08:45:15,AMP-S042,5,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230075_9698940c,2021-12-07 08:45:15,AMP-S060,1,OZN/Stock,Partner Locations/Customers
__export__.stock_move_1230076_c6ae61ea,2021-12-06 15:50:44,AMP-B134,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1230078_f1501234,2021-12-06 15:50:44,AMP-W003,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1230080_5d6f3dc6,2021-12-06 15:50:44,AMP-X189,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1230144_cb5f1d2b,2021-12-08 15:25:05,AMP-W030,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1230192_f2aa378c,2021-12-03 10:29:56,AMP-B181,4,SS/Output,Partner Locations/Customers
__export__.stock_move_1230317_231c6c14,2021-12-21 10:07:21,AMP-B045,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230319_53e87cda,2021-12-21 10:07:21,AMP-B066,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230321_a684ae10,2021-12-21 10:07:21,AMP-B048,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230323_7b4dd755,2021-12-21 10:07:21,AMP-B086-G,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230325_fe8d33ea,2021-12-21 10:07:21,AMP-B072,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230327_5d71af38,2021-12-21 10:07:21,AMP-B050,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230329_57b9b88f,2021-12-21 10:07:21,AMP-B125,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230331_d07ba2ea,2021-12-21 10:07:21,SEN0018,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230333_3aca30e5,2021-12-21 10:07:21,AMP-B088,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230335_b14a4a5f,2021-12-21 10:07:21,AMP-B041,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230337_6442f700,2021-12-21 10:07:21,AMP-X200,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230339_f8175497,2021-12-21 10:07:21,AMP-B025,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230341_10fb6718,2021-12-21 10:07:21,AMP-B058,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230343_86168c6a,2021-12-21 10:07:21,AMP-B043,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1230356_5db6b680,2021-12-03 14:40:14,AMP-X755,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1230358_29f56179,2021-12-03 14:40:14,AMP-X205,2,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1230928_fe179df3,2021-12-01 12:50:34,AMP-P003,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231059_852ddcb0,2021-12-02 13:05:11,A000067,6,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231181_50b20d67,2021-12-01 12:50:45,AMP-P003,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231183_0f4c5e01,2021-12-01 12:50:45,AMP-X581,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231411_7a304cc5,2021-12-07 15:15:00,AMP-V14628,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1231581_ae4ad580,2021-12-01 15:16:55,AMP-X325,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1231583_fb5ae94d,2021-12-01 15:16:55,AMP-X140-2,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1231585_3948fb2d,2021-12-01 15:16:55,SEN0116,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1231616_ddfd598e,2021-12-23 13:20:53,AMP-X375,50,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231669_91baac0e,2021-12-02 15:45:01,AMP-X320,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231747_103a016b,2021-12-03 13:35:57,AMP-S056,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1231750_86834279,2021-12-01 14:52:05,AMP-X500,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231752_b7423c30,2021-12-01 14:52:05,AMP-S056,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231766_2292bfb0,2021-12-22 13:30:18,AMP-X321,7,SS/Output,Partner Locations/Customers
__export__.stock_move_1231779_7691ed8a,2021-12-01 12:55:03,AMP-B144,100,SS/Output,Partner Locations/Customers
__export__.stock_move_1231988_653b0a3e,2021-12-01 12:50:51,AMP-S060,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1231990_235209af,2021-12-01 12:50:51,AMP-S026,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232007_b6ca28ea,2021-12-01 12:51:06,AMP-S042,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232009_962ca453,2021-12-01 12:51:06,AMP-S026,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232041_ae85474e,2021-12-02 15:49:59,DEV-12923,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232043_c6721ddc,2021-12-02 15:49:59,DEV-14432,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232045_aa5636f2,2021-12-02 15:49:59,AMP-B188,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232049_f89aec7a,2021-12-01 12:51:13,ABX00023,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232076_03221f35,2021-12-14 14:12:32,AMP-B075,3,OF/Stock,Partner Locations/Customers
__export__.stock_move_1232104_5f14a03b,2021-12-14 14:15:53,AMP-X275,1,OF/Stock,Partner Locations/Customers
__export__.stock_move_1232160_c21f4e54,2021-12-01 12:51:27,ABX00022,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232162_be3cbcbf,2021-12-01 12:51:27,AMP-B004,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232164_e96b69df,2021-12-01 12:51:27,AMP-W030,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232239_68618a37,2021-12-01 12:51:48,AMP-S042,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232241_28ddc930,2021-12-01 12:52:00,AMP-X202,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232243_7dce7aa7,2021-12-01 12:52:00,AMP-B055,8,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232245_3cfc1357,2021-12-01 12:52:00,AMP-B182,8,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232247_dd7be79c,2021-12-01 12:52:00,AMP-X273,2,AMPRU/Output,Partner Locations/Customers
