External ID,Date,Product/Internal Reference,Quantity Done,Source Location/Display Name,Destination Location/Display Name
__export__.stock_move_1279850_e7d54b5d,2022-06-15 12:50:14,AMP-E027,32,SS/Output,Partner Locations/Customers
__export__.stock_move_1328578_750ef78a,2022-08-30 06:48:18,AMP-S040,2,WSSpb/Stock,Partner Locations/Customers
__export__.stock_move_1332825_50f9660b,2022-06-21 07:02:23,AMP-X272,400,SS/Output,Partner Locations/Customers
__export__.stock_move_1335218_80ba2558,2022-07-12 12:02:19,AMP-S010-BI,24,SS/Output,Partner Locations/Customers
__export__.stock_move_1335220_70b71390,2022-07-12 12:02:19,AMP-S035,24,SS/Output,Partner Locations/Customers
__export__.stock_move_1335222_0c44b00d,2022-07-12 12:02:19,AMP-S013-BI,50,SS/Output,Partner Locations/Customers
__export__.stock_move_1335224_9ba0af9a,2022-07-12 12:02:19,AMP-S030,24,SS/Output,Partner Locations/Customers
__export__.stock_move_1335226_cddf268b,2022-07-12 12:02:19,AMP-S031,24,SS/Output,Partner Locations/Customers
__export__.stock_move_1336467_a887155c,2022-06-23 11:01:19,AMP-S050,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336469_72e272f6,2022-06-23 11:01:19,AMP-S030,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336471_ad5155f6,2022-06-23 11:01:19,AMP-S031,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336473_393dd61c,2022-06-23 11:01:19,AMP-S052,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336475_19c1902f,2022-06-23 11:01:19,AMP-S059,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336477_2ae2b08e,2022-06-23 11:01:19,AMP-S051,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336479_830e2025,2022-06-23 11:01:19,AMP-S060,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1336481_62c7b3f9,2022-06-23 11:01:19,AMP-S063,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1339136_2733aa9c,2022-08-10 15:01:13,ABX00020,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1341865_4bd1284e,2022-06-17 14:30:51,AMP-X522,30,SS/Output,Partner Locations/Customers
__export__.stock_move_1344271_54a997ae,2022-06-29 09:18:35,AMP-E040,11,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1344273_5efe4143,2022-06-29 09:18:35,AMP-X591,8,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1345313_f7559dbd,2022-06-17 14:30:59,AMP-X278,30,SS/Output,Partner Locations/Customers
__export__.stock_move_1345315_c3cf57d3,2022-06-17 14:30:59,AMP-X268,50,SS/Output,Partner Locations/Customers
__export__.stock_move_1348457_d9013c89,2022-06-30 07:49:41,AMP-S010,1,DTMR/Stock,Partner Locations/Customers
__export__.stock_move_1357120_82763c5d,2022-06-10 10:21:01,AMP-S013-BI,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1357309_be3702da,2022-08-22 13:06:06,AMP-B144,6,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1357311_343e8321,2022-08-22 13:06:06,AMP-B040,4,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1357313_e322df85,2022-08-22 13:06:06,AMP-X120,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1357315_2d69286c,2022-08-22 13:06:06,AMP-X118,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1357317_45ec21eb,2022-08-22 13:06:06,AMP-X375,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1358140_7328a350,2022-07-11 11:11:27,AMP-S010-BI,50,SS/Output,Partner Locations/Customers
__export__.stock_move_1358142_06a8321d,2022-07-11 11:11:27,AMP-S035,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1358144_7eb9baa2,2022-07-11 11:11:27,AMP-S013-BI,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1358146_bfeaa526,2022-07-11 11:11:27,AMP-S030,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1358148_89056834,2022-07-11 11:11:27,AMP-S031,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1358253_a52b2dc0,2022-08-26 08:34:52,AMP-FR03-100,60,SS/Output,Partner Locations/Customers
__export__.stock_move_1358255_3d99fd1a,2022-08-26 08:34:52,SEN0001,30,SS/Output,Partner Locations/Customers
__export__.stock_move_1358257_3813fe81,2022-08-26 08:34:52,FIT0006,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1358259_a87362c9,2022-08-26 08:34:52,ISBN-6711-4,30,SS/Output,Partner Locations/Customers
__export__.stock_move_1360124_a302555c,2022-06-16 12:07:54,AMP-S024,24,SS/Output,Partner Locations/Customers
__export__.stock_move_1360126_99732c72,2022-06-16 12:07:54,AMP-S033,24,SS/Output,Partner Locations/Customers
__export__.stock_move_1360128_c53034a2,2022-06-16 12:09:36,AMP-S013-BI,28,SS/Output,Partner Locations/Customers
__export__.stock_move_1360130_cd9acd79,2022-06-16 12:09:36,AMP-S026,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1360132_1ea6e310,2022-06-16 12:09:36,AMP-S010-BI,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1360134_b1e0c7f6,2022-06-16 12:09:36,AMP-S030,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1360136_eb50e3d1,2022-06-16 12:09:36,AMP-S031,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1360138_f9c3de26,2022-06-16 12:09:36,ISBN-3793-3,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1360140_d613a949,2022-06-16 12:09:36,AMP-S060,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1360282_849e9b7b,2022-06-01 12:03:30,AMP-B154,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1360701_3d5d5245,2022-06-01 09:21:20,AMP-V14628,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1361382_424d94b9,2022-10-03 12:58:10,AMP-X121,4,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361384_b6a9dff8,2022-10-03 12:58:10,AMP-X762,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361386_58d74fbf,2022-10-03 12:58:10,AMP-X218,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361388_8f1828ae,2022-10-03 12:58:10,AMP-B092,5,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361390_4fa7a9b3,2022-10-03 12:58:10,AMP-B064,2,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361392_dff91b3c,2022-10-03 12:58:10,AMP-B167,2,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361396_0eacd6cd,2022-10-03 12:58:10,AMP-B155,10,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361398_c4ec40d4,2022-10-03 12:58:10,AMP-X517,2,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361400_cf2a65fc,2022-10-03 12:58:10,AMP-X523,10,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361402_2533858a,2022-10-03 12:58:10,AMP-X036-B,6,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361404_efb60f71,2022-10-03 12:58:10,AMP-X036-R,30,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361406_e1ca2220,2022-10-03 12:58:10,AMP-B182,15,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361408_8a1ce1e9,2022-10-03 12:58:10,AMP-X228,10,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361410_e8bb0768,2022-10-03 12:58:10,AMP-B075,5,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1361412_2a1aa0de,2022-10-03 12:58:10,AMP-B074,5,AMPRU/Output,Partner Locations/Customers
